Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Miami Heat*,53,29,0.646,—,110.0,105.6,4.23,East,2022,2021-22
Boston Celtics*,51,31,0.622,2.0,111.8,104.5,7.02,East,2022,2021-22
Milwaukee Bucks*,51,31,0.622,2.0,115.5,112.1,3.22,East,2022,2021-22
Philadelphia 76ers*,51,31,0.622,2.0,109.9,107.3,2.57,East,2022,2021-22
Toronto Raptors*,48,34,0.585,5.0,109.4,107.1,2.38,East,2022,2021-22
Chicago Bulls*,46,36,0.561,7.0,111.6,112.0,-0.38,East,2022,2021-22
Brooklyn Nets*,44,38,0.537,9.0,112.9,112.1,0.82,East,2022,2021-22
Cleveland Cavaliers,44,38,0.537,9.0,107.8,105.7,2.04,East,2022,2021-22
Atlanta Hawks*,43,39,0.524,10.0,113.9,112.4,1.55,East,2022,2021-22
Charlotte Hornets,43,39,0.524,10.0,115.3,114.9,0.53,East,2022,2021-22
New York Knicks,37,45,0.451,16.0,106.5,106.6,-0.01,East,2022,2021-22
Washington Wizards,35,47,0.427,18.0,108.6,112.0,-3.23,East,2022,2021-22
Indiana Pacers,25,57,0.305,28.0,111.5,114.9,-3.26,East,2022,2021-22
Detroit Pistons,23,59,0.28,30.0,104.8,112.5,-7.36,East,2022,2021-22
Orlando Magic,22,60,0.268,31.0,104.2,112.2,-7.67,East,2022,2021-22
Phoenix Suns*,64,18,0.78,—,114.8,107.3,6.94,West,2022,2021-22
Memphis Grizzlies*,56,26,0.683,8.0,115.6,109.9,5.37,West,2022,2021-22
Golden State Warriors*,53,29,0.646,11.0,111.0,105.5,5.52,West,2022,2021-22
Dallas Mavericks*,52,30,0.634,12.0,108.0,104.7,3.12,West,2022,2021-22
Utah Jazz*,49,33,0.598,15.0,113.6,107.6,5.67,West,2022,2021-22
Denver Nuggets*,48,34,0.585,16.0,112.7,110.4,2.16,West,2022,2021-22
Minnesota Timberwolves*,46,36,0.561,18.0,115.9,113.3,2.53,West,2022,2021-22
Los Angeles Clippers,42,40,0.512,22.0,108.4,108.4,0.09,West,2022,2021-22
New Orleans Pelicans*,36,46,0.439,28.0,109.3,110.3,-0.84,West,2022,2021-22
San Antonio Spurs,34,48,0.415,30.0,113.2,113.0,0.02,West,2022,2021-22
Los Angeles Lakers,33,49,0.402,31.0,112.1,115.1,-3.08,West,2022,2021-22
Sacramento Kings,30,52,0.366,34.0,110.3,115.8,-5.26,West,2022,2021-22
Portland Trail Blazers,27,55,0.329,37.0,106.2,115.1,-8.55,West,2022,2021-22
Oklahoma City Thunder,24,58,0.293,40.0,103.7,111.8,-7.9,West,2022,2021-22
Houston Rockets,20,62,0.244,44.0,109.7,118.2,-8.26,West,2022,2021-22
